,Unnamed: 0,Unnamed: 0.1,ID,Species,Country,Owner,Grade,ICP,Completed,0,1,2,3,84.50,83.83,83.17,86.25,82.67,85.00,82.25,84.08,82.50
35,35.0,,#778342,Arabica,Mexico,COSECHA BIENESTAR SAPI DE CV,81.92,CAFECOL,"Aug 17th, 2020",,,,,,,,,,,,,
36,36.0,,#965326,Arabica,Guatemala,Yukinobu Ueda,81.83,JPCE,"Nov 23rd, 2020",,,,,,,,,,,,,
37,37.0,,#551160,Arabica,Brazil,Ikuto Uehara,81.75,JPCE,"Oct 27th, 2020",,,,,,,,,,,,,
38,38.0,,#740624,Arabica,Taiwan,"Lin, Che-Hao Krude 林哲豪",81.75,NKG Quality,"Sep 1st, 2020",,,,,,,,,,,,,
39,39.0,,#357799,Arabica,Brazil,João Batista Jarduli,81.75,bsca,"Apr 17th, 2020",,,,,,,,,,,,,
40,40.0,,#202360,Arabica,Brazil,João Batista Jarduli,81.75,bsca,"Apr 17th, 2020",,,,,,,,,,,,,
41,41.0,,#385795,Arabica,Indonesia,PTRAAS,81.67,SCAI,"Sep 29th, 2020",,,,,,,,,,,,,
42,42.0,,#503643,Arabica,Honduras,Juan Manuel Sanchez Silvestre,81.67,ihcafe,"Jun 2nd, 2020",,,,,,,,,,,,,
43,43.0,,#734614,Arabica,Vietnam,"Sunvirtue Co., Ltd.",81.67,scaa,"Mar 10th, 2020",,,,,,,,,,,,,
44,44.0,,#485415,Arabica,Honduras,Janny Marlith Torres,81.67,ihcafe,"May 21st, 2020",,,,,,,,,,,,,
45,45.0,,#435010,Arabica,Brazil,MR.BROWN CAFE,81.58,bvi,"Nov 7th, 2020",,,,,,,,,,,,,
46,46.0,,#154271,Arabica,Brazil,Pedro Santos e Silva,81.5,bsca,"Dec 26th, 2019",,,,,,,,,,,,,
47,47.0,,#244253,Arabica,Nicaragua,"Exportadora Atlantic, S.A.",81.5,acen,"Jan 18th, 2020",,,,,,,,,,,,,
48,48.0,,#947026,Arabica,Guatemala,Angelica Paola Citan Lopez,81.5,anacafe,"Sep 9th, 2020",,,,,,,,,,,,,
49,49.0,,#609705,Arabica,El Salvador,Consejo Salvadoreño del Café,81.42,scc,"May 19th, 2020",,,,,,,,,,,,,
0,0.0,,#797340,Arabica,Taiwan,郭亮志 GuoLiangZhi,89.25,NKG Quality,"Sep 1st, 2020",,,,,,,,,,,,,
1,1.0,,#630917,Arabica,Kenya,Alexis Rodriguez,89.17,NKG Quality,"Oct 30th, 2020",,,,,,,,,,,,,
2,2.0,,#961547,Arabica,Ethiopia,Blossom Valley International,87.17,JPCE,"Jul 14th, 2020",,,,,,,,,,,,,
3,3.0,,#976095,Arabica,Colombia,Fernando,87.08,NKG Quality,"Sep 4th, 2020",,,,,,,,,,,,,
4,4.0,,#640499,Arabica,Ethiopia,Dr. Marcel Lorenz,86.92,NKG Quality,"Sep 1st, 2020",,,,,,,,,,,,,
5,5.0,,#507718,Arabica,Ethiopia,Blossom Valley International,86.58,JPCE,"Jul 14th, 2020",,,,,,,,,,,,,
6,6.0,,#758571,Arabica,Ethiopia,Al-impex Business plc,86.25,metad,"Jun 29th, 2020",,,,,,,,,,,,,
7,7.0,,#619167,Arabica,Taiwan,Jim郭志豪,85.75,NKG Quality,"Sep 1st, 2020",,,,,,,,,,,,,
